text,_id
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",35171678#484493#2
"It's traditional, simple italian food.",11351664#1238806#1
My girlfriend and I just spent our 10 month anniversary at Lou Lou.,11432316#715219#0
"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",35693081#540596#1
(The sashimi is cut a little thinly.,35693081#540596#2
"Bay Terrace mall is nothing (ok, almost nothing) without it!",32944714#1559783#2
Could have had better for 1/3 the price in Chinatown.,35708055#673129#2
My husband and I had a blast.,11567247#1415594#0
personally i say save your money.,11651062#1264882#6
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",11651063#1217842#0
"Believe me, they live up to the name.",11651063#1217842#8
"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",11349845#1188496#1
"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",32892130#435512#1
"When the dish arrived it was blazing with green chillis, definitely not edible by a human.",11359797#469087#5
The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,11351819#985076#1
It's about $7 for lunch and they have take-out or dine-in.,33061445#591371#1
They are by far the BEST past in New York.,11359762#927332#2
I have eaten here several times before attending an afternoon performance.,35698240#574381#0
Everything is very cheap.,32934709#796678#1
Be sure to accompany your food with one of their fresh juice concoctions.,32934709#796678#2
The food is great and the prices are reasonable.,32894963#1707639#1
"The place is clean, and if you like soul food, then this is the place to be!",32894963#1707639#3
You'll see a lot of people eating there after church.,32894963#1707639#4
I had roast chicken and a salad.,33059678#631861#3
I've been a regular customer at Juice Generation for the last 3 months - my office moved to the Film Center on Ninth Avenue and they are on the next block.,32894966#1727613#0
They have a very good chicken with avocado and good tuna as well.,32894966#1727613#7
It's the kind of place I like to support!,32894966#1727613#11
But the meals were terrible.,11558693#1436895#4
My chicken was completely dried out and on the cold side and the sauce was not very flavorful.,11558693#1436895#6
Malted Milk Ball Gelato - have you ever in your life heard of anything so ridiculously wonderful?,12037822#470071#0
just walk by the window and see all the unbiased positive reviews in all the major nyc publications.,36216551#1233442#0
Way too much money for such a terrible meal.,11558693#1436895#9
Would not recommend anyone to go.,35708055#673129#6
"However, the service is absolutely horrible.",35700731#1595671#2
A con was the slow bar service.,11350033#1264371#4
Dessert was also to die for!,35158410#1207085#5
"BTW, the service is very good .",11660930#655010#6
We loved it and will go back!,11567247#1415594#4
I came again weeks later with my boyfriend and again had a very nice experience.,35695422#1464305#4
It's eaten with black vinegar and shredded ginger.,12036269#580745#8
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",11350390#802808#2
We'll definitly be back again!,33068517#482841#4
This is the best Italian restaurant in the city.,11359618#788741#1
it is a cozy place to go with a couple of friends.,11359619#487952#4
"The service is always great, and the owner walks around to make sure you enjoy.",11565268#560107#1
because the waiters need SEVERE ATTITUE ADJUSTMENTS.,11351628#404492#5
"There are numerous shavue restaurants in LA, but few out here.",35160930#774531#2
Horrible experience - stay away!,33068909#1189415#6
"If this restaurant was in Manhattan, I would definitely go more often.",32926987#668438#3
the food is delicious and highly recommended.,11359791#791967#1
"When it came time to take the order the waiter gave us a hard time, walked away then came back with a paper and pen for us to write down what we wanted...excuse me but isn't that his job???",11359790#823900#2
One of my Fav spots in the city.,11350269#481079#1
"Over priced, overrated....stay away!",11351819#985076#4
Do not go to this restaurant.,11351819#985076#0
"since i was in the neighborhood, we made sure to give this a try.",32894267#698671#2
All I can say is they are fantastic.,11565268#560107#2
Dieters stick to salads or indulge in vegetarian platters.,11351628#404492#2
So for a filling and healthy meal give it a go.,32935729#785247#10
I can't imagine how much worse it would have been if we'd gone at a prime time!,33068909#1189415#7
I have dined at Mammino several times now and each time it gets bettter.,33066089#490193#0
Definitely something to come down and check out.,33066089#490193#4
"Since I cook for a living, I'm very fussy about the food I eat in restaurants.",11359727#487554#3
The service was outstanding.,11639814#570590#2
I went for restaurant week.,11432842#416795#0
My friends and I stop here for pizza before hitting the Kips Bay movie theater.,11350141#1745557#0
We always enjoy the pizza.,11350141#1745557#1
The service is pretty good.,11350141#1745557#4
I went there with a few friends and will return.,35693216#1233439#0
This place has been around for a few years.,32944693#1193404#0
"Yum, the chicken is great here.",11432442#650772#0
I highly recommend this restaurant!!,36244423#1058258#3
You will find everything about Trio to your liking!,11559272#409013#1
This place was the worst.,11538980#453602#0
I ordered from here last week.,32891589#573560#0
"This is a nice sushi restaurant in Brooklyn that's located on 86 street, right underneath the train station.",32938222#1552119#0
"The food here was great, a treat from beginning to end.",32406302#615620#1
The host (owner) and servers are personable and caring.,11484031#1129679#1
I decided to try out this place after hearing about it in many magazines.,32882616#562969#0
"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",11351561#744321#0
Having moved I truly miss this place.,33070461#1496736#7
The food is very good and the service is great.,33068635#1533725#2
I usually get one the Vietnamese Beef Noodle Soup.,11313316#1234433#1
"SUM IT: local investment bankers like it, try for yourself at least once.",33069925#747092#5
I started going to dosa hut more after that.,11359797#469087#1
We were wondering why they were there to make our dining experience miserable?,11661949#1709112#5
"Too bad, has a lot of potential.",11351354#412616#2
"This place has the best Indian food in New York, hands down.",33069536#707145#0
The waiters are very friendly and helpful and if you frequent they will remember you.,33069536#707145#1
Intimate but charming interior with extremely friendly and attentive service.,35693081#540596#0
The food was as creative as the decor and both worked.,35393632#1591698#4
Siam Square is fairly new to the neighborhood and I think in time will gain the recognition it deserves.,33009300#626261#0
My first experience at Siam Square was very pleasant.,33009300#626261#2
I have gone back to Siam Square many times since and everytime I am very satisfied overall.,33009300#626261#4
"The menu is great, with a good selection, and everything that I have tried is absolutely delicious.",33009300#626261#5
We had our Christmas party at Dos Caminos and it was wonderful.,35393630#1095759#0
My personal favorite is Nick and Joe's.,11350539#680470#1
The sauce is zesty and flavorful and the crust is nice and crispy.,11350539#680470#3
This place has the best sushi in the city.,33059931#926509#0
They have an excellent selection (the rolls with crab are really great).,33059931#926509#1
"Everyone who works there (the host, the bartender, the servers) is so helpful.",11349871#518230#2
And the food is fantastic.,11349871#518230#3
Favourites include: potato spinach gnocchi and the lamb.,11349871#518230#4
Another great thing about Glechik-everything is very cheap!,32935583#854234#2
"Unfortunately, we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport.",33071731#1007204#0
But regulars know that the sandwiches are the real star here.,32889544#0#3
The skillfully chosen Portuguese cheese cart paired with quality port provides the perfect Iberian ending.,11351753#0#4
My friend had a burger and I had these wonderful blueberry pancakes.,35084984#412657#1
We were so happy with our food and were even more thrilled when we saw the bill.,35084984#412657#2
I would definitely come back to this restaurant.,35084984#412657#3
The place just isn't ready for prime time.,15087705#871249#5
"All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.",33064221#427885#3
Quartino is my favoriate resturant in NYC.,11548230#560890#0
We've always gotten amazing service and we love the food.,11548230#560890#2
"The waitstaff is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative.",35700989#574718#1
I'm in love with the lobster ravioli!,35700989#574718#2
My order is on my table even on a busy friday night within 10 minutes (at the most) of hanging up the phone.,33070600#670328#1
We came across this restaurant by accident while at a DUMBO art festival and thoroughly enjoyed our meal.,11639814#570590#0
"Service is excellent, no wait, and you get a lot for the price.",11359618#788741#2
I thought the food isn't cheap at all compared to Chinatown.,12036269#580745#3
And you never get the feeling that you need to leave.,32896473#439063#1
Coffee is a better deal than overpriced Cosi sandwiches.,33070601#438491#0
We didn't know if we should order a drink or leave?,11661949#1709112#3
great neighbhorhood spot.,32894791#1611374#2
Bobb V's is a great place to take your Friends and Family!,34109476#402765#0
") It's not the best Japanese restaurant in the East Village, but it's a pretty solid one for its modest prices, and worth repeat visits.",35693081#540596#3
The food is so good and so popular that waiting can really be a nightmare.,32944714#1559783#1
"Here's the thing, you're in the best city in the world for restaurants.",14336883#1094817#5
Go spend your money somewhere that really wows you.,14336883#1094817#6
"The crowd was older and the restaurant is very cramped, but it has old school charm.",33059678#631861#2
This is a real gem of a place.,32894966#1727613#1
I think this a a wonderful place.,32894966#1727613#9
First walking in the place seemed to have great ambience.,11558693#1436895#1
I went to Kitchenette this weekend for brunch.,35700731#1595671#0
"This place doesn't get the publicity that Sylvias Soul Food restaurant does, but it should.",32894963#1707639#0
Just because P Diddy had a party at Butter doesn't mean we should be automatically impressed.,14336883#1094817#7
Even for two very hungry people there is plenty of food left to be taken home (it reheats really well also).,35819603#1613701#3
"Like I said, Nick and Joe's may not be everyone's favorite, but it's mine.",11350539#680470#8
The help was extremely nice and did not rush us.,35393632#1591698#6
"Then they somehow made a dry and burnt crust, around a raw and cold inside.",35714274#1076679#4
"It's just good food, nothing more and that's all we want!",11351664#1238806#4
DON'T KNOW WHAT THE OTHERS ON THE BLOCK WERE LIKE BUT WE WERE PLEASED WITH OUR CHOICE.,33070286#1133164#7
Average cake thats been courted by a LOT of hype.,32936760#1397861#9
It's cute and simple and I loved it.,11349654#424016#1
My wife and I recently visited the bistro for dinner and had a wonderful experience.,33068517#482841#0
THE SERVICE IS PERFECT TOO  NOTHING WRONG IN THIS ITALIAN/FRENCH RESTAURANT,11351400#495795#1
My fiance and I recently wanted to see the city and deceided to take a dinner cruise.,11313431#524365#0
The $72 Delmonico steak had to be sent back because it was not cooked to order.,11546184#1465600#1
Everytime I go there I can't pick anything to eat and not because the menu is filled with great things to eat.,11482070#503858#1
Half a chicken with a mountain of rice and beans for $6.25.,11349922#547169#3
"The service is really fast and friendly, and the value is great.",32894483#1088884#0
We were very impressed with the food and value.,32944674#542988#0
You must try the garlic soup!,32944674#542988#2
"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",32896492#738746#0
"Even after a few bad evenings at Bardolino, I keep coming back.",11313290#1139539#0
"The pizza's are made fresh, crispy, and ready to serve.",33069847#1306433#1
"There are many french bistros in the midtown area, and I wholheartedly recommend this one.",32893609#708406#3
Staff is accomodating make sure you are satified.,35709451#1061726#1
Chef Waldy's always measures up.,11359727#487554#4
This diamond in the ruff is definitely worth my 10-minute walk from the 6 train.,35709337#1579632#5
"Being a vegan myself, I've made a point of trying all the vegan restaurants in Manhattan--and Zen Palate is easily my favorite.",11350660#564640#0
Don Pedro's is one of my favorite restaurants.,35819603#1613701#0
Reasonably priced with very fresh sushi.,33059931#926509#2
Go for the Seafood Paella for two.,35819603#1613701#2
All of the apetizers are good and the Sangria is very good.,35819603#1613701#4
Cantinetta is a real treasure in a see of mediocre Italian restaurants.,13383936#420974#0
"The one positive thing I can say is that the service was prompt, we got seated right away and the server was very friendly.",11558693#1436895#7
The staff greeted me warmly at the door and I was seated promptly and the food was excellent.,33009300#626261#3
Whether one pizza place is better than another is often very subjective.,11350539#680470#0
Really nice restaurant to go with a group or on a date.,35819603#1613701#5
Service is usually pretty good.,35819603#1613701#6
Host and Hostess was quite rude.,35708055#673129#4
You will not be missing anything.,35708055#673129#7
I discovered Applebees when I went away to college in VA.,32878835#503761#0
"the wait staff is very friendly, if your not rude or picky.......our meal at Leon last weekend was great -.",11351453#683961#0
I recommend any of their salmon dishes......,11351453#683961#1
The foie gras was sweet and luscious.,11351451#805713#1
"The menu, which changes seasonally, shows both regional and international influences.",11351324#0#2
but their mac cheese was YUMMY!,11624981#549489#5
their brunch menu had something for everyone.,11624981#549489#6
jazz singer had a nice voice + she made us all get up to dance to shake some cals to eat some more.,11624981#549489#7
"I often find myself with time to kill in Times Square, which is a shame since I don't love this area.",15069510#648179#0
They have very quick service which is great when you don't have much time.,15069510#648179#2
"The food is average: breakfast food, soups, salads, sandwiches, etc.",15069510#648179#3
I WAS HIGHLY DISAPPOINTED BY THE FOOD.,11519527#1541586#1
"THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.",11519527#1541586#3
"The staff is arrogant, the prices are way high for Brooklyn.",35759841#1360876#1
This place is average... at best.,35759841#1360876#0
the service is prompt friendly.,11639667#1085238#2
Whatever the reason it is definitely the place to be.,11639667#1085238#6
This is literally a hot spot when it comes to the food.,32464595#574909#0
The downstairs bar scene is very cool and chill...,32892297#645108#0
"The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person)...",32892297#645108#1
I've come here for casual lunches as well as for a friend's birthday and I always enjoy myself.,32950061#1264345#0
If you are a Tequila fan you will not be disappointed.,35393630#1095759#2
"Great beer selection too, something like 50 beers.",11660930#655010#5
"After reading the great reviews, I invited a die-hard downtown friend of mine to join me at TASTE.",35695422#1464305#0
Not to sound too negative but be wary of the delivary.,11359613#884374#3
Feels like family when we go there.,35390182#756337#7
"I found the food to be just as good as its owner, Da Silvano, just much less expensive.",13383936#420974#1
They have homemade pastas of all kinds -- I recommend the gnocchi -- yum!,11484031#1129679#3
"My vegetable risotto was burnt, and infused totally in a burnt flavor.",14336883#1094817#3
What a pleasant surprise!,35695422#1464305#1
The main draw of this place is the price.,32935729#785247#8
